tweet,date
"RT @HouseGOP: Adam Schiff just claimed he doesn't know the whistleblower's identity.

He deliberately mislead the public about his office's…",2019-11-13 16:36:40
"RT @GOPoversight: FACT CHECK: Neither Ambassador Taylor nor George Kent have first-hand knowledge of a quid pro quo from the President. 

W…",2019-11-13 16:36:34
"RT @RepMarkMeadows: Reminder: the Chairman was caught misleading a reporter about communication with the whistleblower, barely four weeks a…",2019-11-13 16:36:28
"RT @GOPLeader: This 👏 is 👏 a 👏 sham 👏
→ Democrats are refusing access to important witnesses.
→ The President's legal counsel is not allowe…",2019-11-13 16:36:11
"RT @RepLizCheney: Just minutes after President Trump took his oath of office on Inauguration Day 2017, the Washington Post ran a piece ushe…",2019-11-13 16:36:02
"RT @RepJimBanks: Today, America will see one party try and overturn the constitutional election of a president of the United States of Amer…",2019-11-13 16:35:55
"RT @RepMarkMeadows: 4 inconvenient facts for the Democrat impeachment fantasy:

- Call transcript shows zero link between aid and political…",2019-11-13 16:35:41
"RT @GOPoversight: .@RepAdamSchiff's sham #impeachment hearings begin today. 

But make no mistake, Democrats have been out to get the Presi…",2019-11-13 16:35:27
RT @WhiteHouse: New hoax. Same swamp. https://t.co/6byw3BVxFR,2019-11-13 16:08:54
READ THE TRANSCRIPT!,2019-11-13 13:30:55
NEVER TRUMPERS!,2019-11-13 13:30:31
"....any laws or did anything wrong, and they have to move away from quid pro quo because there was no quid, and the… https://t.co/mFAufTPQBZ",2019-11-13 13:18:10
"...the most powerful tool the legislative branch has, Impeachment, &amp; they’ve turned it into a political cudgel, whi… https://t.co/KBxjfaCgoE",2019-11-13 13:18:08
“Nancy Pelosi cares more about power than she does about principle. She did not want to go down this road. She real… https://t.co/TsEw7G2SiO,2019-11-13 13:18:05
The Democrats have stacked the deck against President Trump and the Republicans. They have leaked out everything. @SteveDoocy @foxandfriends,2019-11-13 12:11:42
"“Millions of Americans will see what a partisan sham this whole thing is.” Rush Limbaugh @foxandfriends  Also, why… https://t.co/M291UJuFJv",2019-11-13 12:03:03
RT @DanScavino: https://t.co/BwfxXfm983,2019-11-13 03:40:50
"....to hurt Donald Trump and we, the people that support him. The Left has never accepted the results of the 2016 E… https://t.co/kkWiy9nG8a",2019-11-13 03:33:45
"....This is a phony showtrial. There is zero due process, none. It is yet another fraudulent hoax conspiracy theory… https://t.co/QlTDRrq4zG",2019-11-13 03:33:45
"“The circus is coming to town. The corrupt, compromised, coward &amp; congenital liar Adam Schiff Show on Capital Hill,… https://t.co/awn8Cwz8mn",2019-11-13 03:33:44
"“This ridiculous Impeachment is a travesty, it’s not an inquiry. Just read the transcript.” @LouDobbs",2019-11-13 01:34:03
